"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L2";"IND-SMD_L7.2-W6.6_GPSR07X0";1;"3.3uH";;;
2;"R5";"R_0603_1608Metric";1;"22k";;;
3;"D4";"D_SOD-323";1;"Schottky";;;
4;"M1";"JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal";1;"Stepper_Motor";;;
5;"R1";"R_0603_1608Metric";1;"470";;;
6;"U2";"QFN-24-1EP_4x4mm_P0.5mm_EP2.65x2.65mm";1;"STUSB4500QTR";;;
7;"R54,R53";"R_0603_1608Metric";2;"100k";;;
8;"R18,R19,R14,R15";"R_0603_1608Metric";4;"10k";;;
9;"C3,C4,C1,C2";"C_0603_1608Metric";4;"1uF";;;
10;"JP6,JP5";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";2;"~";;;
11;"C7,C8";"C_0805_2012Metric";2;"33uF";;;
12;"D3";"SOT65P210X110-3N";1;"ESDA25W";;;
13;"U4";"XIAO-RP2350-DIP";1;"XIAO-RP2350-DIP";;;
14;"R4,R2";"R_1206_3216Metric";2;"1k";;;
15;"R3";"R_0402_1005Metric";1;"100k";;;
16;"PN532-Module1";"PinHeader_1x05_P2.54mm_Vertical";1;"~";;;
17;"R55,R10";"R_0603_1608Metric";2;"100K";;;
18;"TP_20V1,TP4,TP_3V3,TP1";"TestPoint_Pad_D3.0mm";4;"TestPoint";;;
19;"C5";"C_1206_3216Metric";1;"6.8uF";;;
20;"Q1";"TRANS_STL6P3LLH6";1;"STL6P3LLH6";;;
21;"U1";"TMC2208";1;"~";;;
22;"R11";"R_0603_1608Metric";1;"22K";;;
23;"SW2";"PinHeader_2x01_P2.54mm_Vertical";1;"SW_Back";;;
24;"SW4";"PinHeader_2x01_P2.54mm_Vertical";1;"SW_Settings";;;
25;"ST7789-Display1";"PinHeader_1x08_P2.54mm_Vertical";1;"~";;;
26;"C10,C6";"C_0402_1005Metric";2;"100nF";;;
27;"SW3";"PinHeader_2x01_P2.54mm_Vertical";1;"SW_Bolus";;;
28;"SW1";"PinHeader_1x05_P2.54mm_Vertical";1;"RotaryEncoder_Switch";;;
29;"R13";"R_0603_1608Metric";1;"100";;;
30;"D50,D11";"TVS_ESDA25P35-1U1M";2;"ESDA25P35-1U1M";;;
31;"R21";"R_0603_1608Metric";1;"4.7k";;;
32;"U5";"SOT95P280X110-6N";1;"TPS54308DDCT";;;
33;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
34;"C50";"C_1206_3216Metric";1;"4.7uf";;;
