Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,168.114636,-110.090303,90.0,top
C10,100nF,C_0402_1005Metric,179.172136,-105.940303,0.0,top
C2,1uF,C_0603_1608Metric,176.414636,-108.940303,0.0,top
C3,1uF,C_0603_1608Metric,165.964636,-115.340303,0.0,top
C4,1uF,C_0603_1608Metric,167.564636,-105.390303,0.0,top
C5,6.8uF,C_1206_3216Metric,159.314636,-117.140303,0.0,top
C50,4.7uf,C_1206_3216Metric,176.414636,-117.540303,0.0,top
C6,100nF,C_0402_1005Metric,156.764636,-110.040303,90.0,top
C7,33uF,C_0805_2012Metric,151.664636,-118.440303,-90.0,top
C8,33uF,C_0805_2012Metric,149.664636,-118.440303,-90.0,top
D11,ESDA25P35-1U1M,TVS_ESDA25P35-1U1M,179.864636,-102.200303,0.0,top
D3,ESDA25W,SOT65P210X110-3N,167.179636,-117.440303,180.0,top
D4,Schottky,D_SOD-323,167.664636,-102.040303,0.0,top
D50,ESDA25P35-1U1M,TVS_ESDA25P35-1U1M,168.114636,-112.740303,90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,130.744636,-123.200303,0.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,172.144636,-123.150303,0.0,top
L1,3.3uH,IND-SMD_L7.2-W6.6_GPSR07X0,156.65,-121.95,180.0,top
M1,Stepper_Motor,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,152.014636,-87.560303,180.0,top
PN532-Module1,~,PinHeader_1x05_P2.54mm_Vertical,168.874636,-83.590303,90.0,top
Q1,STL6P3LLH6,mosfetty,176.189636,-101.390303,0.0,top
Q2,STL6P3LLH6,mosfetty,172.614636,-103.488303,0.0,top
R1,470,R_0603_1608Metric,167.564636,-103.840303,0.0,top
R10,100K,R_0603_1608Metric,173.339636,-107.990303,0.0,top
R11,22K,R_0603_1608Metric,173.339636,-109.540303,0.0,top
R13,100,R_0603_1608Metric,176.389636,-107.390303,0.0,top
R14,10k,R_0603_1608Metric,122.814636,-86.240303,180.0,top
R15,10k,R_0603_1608Metric,107.889636,-87.950303,180.0,top
R16,10k,R_0603_1608Metric,113.164636,-114.590303,90.0,top
R18,10k,R_0603_1608Metric,111.424636,-87.935303,180.0,top
R19,10k,R_0603_1608Metric,114.964636,-87.935303,180.0,top
R2,1k,R_1206_3216Metric,180.527136,-104.240303,0.0,top
R21,4.7k,R_0603_1608Metric,116.339636,-92.190303,180.0,top
R3,100k,R_0402_1005Metric,159.454636,-107.490303,180.0,top
R4,1k,R_1206_3216Metric,168.364636,-107.440303,180.0,top
R5,22k,R_0603_1608Metric,159.164636,-108.740303,0.0,top
R53,100k,R_0603_1608Metric,176.414636,-112.040303,0.0,top
R54,100k,R_0603_1608Metric,176.414636,-110.490303,0.0,top
R55,100K,R_0603_1608Metric,176.714636,-115.490303,180.0,top
R6,10k,R_0603_1608Metric,132.964636,-112.040303,180.0,top
R7,5.1k,R_0603_1608Metric,137.125,-116.65,0.0,top
R8,5.1k,R_0603_1608Metric,137.125,-118.45,0.0,top
REF**,Overture_title,Overture_title,121.0,-89.25,0.0,bottom
REF**,Overture_title,Overture_title,107.8,-89.6,0.0,bottom
ST7789-Display1,~,PinHeader_1x08_P2.54mm_Vertical,113.964636,-123.240303,-90.0,top
SW1,RotaryEncoder_Switch,PinHeader_1x05_P2.54mm_Vertical,130.604636,-83.590303,-90.0,top
SW2,SW_Back,PinHeader_2x01_P2.54mm_Vertical,107.064636,-83.290303,90.0,top
SW3,SW_Bolus,PinHeader_2x01_P2.54mm_Vertical,110.614636,-83.290303,90.0,top
SW4,SW_Settings,PinHeader_2x01_P2.54mm_Vertical,114.164636,-83.290303,90.0,top
SW5,SW_Push,SW_TS-1088-AR02016,123.964636,-109.915303,90.0,top
SW6,SW_Push,SW_TS-1088-AR02016,123.964636,-96.290303,-90.0,top
U1,~,TMC2208_edit,135.034636,-106.040303,0.0,top
U2,STUSB4500QTR,QFN-24-1EP_4x4mm_P0.5mm_EP2.65x2.65mm,172.104636,-113.130303,0.0,top
U4,USBLC6-2SC6,SOT-23-6,124.814636,-117.202803,90.0,top
U5,TPS54308DDCT,SOT95P280X110-6N,159.014636,-113.095303,90.0,top
U6,ESP32-C6-WROOM-1,ESP32-C6-WROOM-1_edit,110.009636,-103.140303,90.0,top
